conv1.weight,conv1.bias,fc1.weight,fc1.bias,fc2.weight,fc2.bias
0.010893077,-0.12947962,-0.045475915,0.041494183,0.028983597,0.024630927
0.081358954,0.14094801,-0.06180456,-0.09049397,-0.13579567,0.070108324
0.01755411,0.12805769,-0.034203433,-0.022830022,0.067535006,0.01029751
-0.031631306,0.60359424,-0.027152704,-0.062189642,0.057740096,0.08196488
-0.12497875,,-0.0040726555,0.070046395,-0.034360003,0.049135454
0.0012693491,,0.08852559,-0.0010583163,-0.08216158,-0.07977411
-0.027062649,,0.03977753,0.002426252,-0.06045489,-0.04442789
0.058706436,,-0.0034171678,-0.0036173507,-0.012872927,-0.096688055
0.12863679,,-0.06351753,0.027552288,0.097176656,0.07839816
-0.028361818,,-0.0131354015,-0.033491638,-0.063393146,-0.05960738
-0.004223065,,0.055117656,0.061016493,-0.04356339,
-0.11213529,,0.06789462,-0.03033059,-0.13081823,
-0.08800598,,0.04222711,0.047970362,-0.04654926,
0.090215504,,0.055796918,-0.024282327,0.0826225,
0.14952703,,0.051975705,0.019084211,-0.094968654,
0.08481099,,0.016480885,0.0729759,-0.105265595,
-0.06682823,,0.004560203,0.055098716,-0.022001008,
-0.123908505,,0.0130726565,-0.010418448,0.015149958,
-0.118957,,0.036162466,-0.071596585,0.004899698,
0.03710682,,0.034599863,0.03720288,0.09185351,
0.14867136,,0.056267075,0.017301105,-0.06678428,
0.10082069,,-0.08782318,0.05538225,-0.029130511,
-0.048446804,,-0.06030444,0.056362357,0.02912217,
-0.05041853,,-0.0396151,-0.05504152,-0.010452558,
-0.1519486,,0.0589868,-0.048202682,-0.1661835,
-0.105483584,,0.023006797,0.053725474,-0.070497364,
-0.017450245,,0.01710708,0.055962157,-0.08580354,
0.21900019,,0.05606341,0.03110504,0.09379979,
0.008502855,,0.0005657149,-0.025549466,0.12798464,
-0.08756838,,-0.094121866,0.00041029326,0.19648865,
-0.047631152,,-0.11386472,0.018902974,0.09065233,
-0.030999051,,0.022848647,-0.028164065,0.058571015,
-0.10977456,,-0.0052384306,-0.05672127,0.025581399,
0.124024674,,0.009787509,0.0052951165,-0.013966055,
0.0644982,,0.0592793,-0.020764371,0.03578026,
0.06270491,,0.013913379,0.05732258,-0.031568963,
-0.00609776,,0.01618767,-0.044902217,0.07241701,
-0.0579858,,-0.012792353,0.024897706,0.18545812,
-0.029437974,,0.05319843,0.036129333,0.06364469,
-0.08800302,,-0.042400345,0.04527755,0.046281237,
0.048563942,,0.04732532,0.06109885,-0.062431365,
0.10832875,,-0.03793054,0.013619277,0.021148331,
-0.029583821,,0.030456383,0.04020827,-0.023488343,
-0.075599775,,0.008878499,-0.04112134,-0.092416376,
0.025776943,,0.06131995,0.025986373,-0.02386656,
-0.050078273,,0.034250278,0.049132273,-0.014031304,
-0.05546232,,0.013125058,0.016121661,0.03540997,
-0.03218938,,-0.0013419493,-0.017171018,-0.08375874,
0.09234714,,-0.07071207,0.060747348,0.095996395,
-0.04308507,,-0.0880671,0.007998044,-0.015313381,
-0.0060255225,,-0.034368563,0.034126617,-0.07324003,
-0.06452272,,0.0676757,0.074182905,0.09237079,
0.047898944,,0.007990205,-0.03740657,-0.044467956,
0.009906635,,-0.02605758,0.0073824804,0.040333144,
0.14222601,,0.020289598,0.031123176,-0.09544077,
0.044760004,,-0.04848927,0.053863943,-0.034678385,
0.05893342,,0.0010506302,0.039441153,0.049873136,
-0.03568872,,0.031576518,0.03381618,-0.08320241,
-0.071198545,,-0.027937511,0.03472582,-0.013463368,
-0.10554328,,0.004108036,-0.047261063,0.030998526,
0.08159138,,0.019153,0.009616822,-0.124405906,
